,GEOIDFQ,median_household_income,owner_occupied_units,renter_occupied_units,median_home_value,state,county,TRACTCE,year,owner_renter_ratio
206,1400000US48029191409,33214,977,5449,156900.0,48,029,191409,2012,0.1792989539365021
207,1400000US48029171402,30570,4016,633,74900.0,48,029,171402,2012,6.344391785150079
208,1400000US48029171401,32799,2713,1470,81100.0,48,029,171401,2012,1.845578231292517
209,1400000US48029171501,34450,1717,522,67400.0,48,029,171501,2012,3.289272030651341
210,1400000US48029171502,31473,3932,1668,59100.0,48,029,171502,2012,2.357314148681055
211,1400000US48029171601,36852,2335,1954,65800.0,48,029,171601,2012,1.1949846468781986
212,1400000US48029171602,26944,2430,1154,68400.0,48,029,171602,2012,2.1057192374350087
213,1400000US48029171913,35521,2774,2459,88100.0,48,029,171913,2012,1.1281008540056934
214,1400000US48029121907,87366,8096,1575,213800.0,48,029,121907,2012,5.14031746031746
215,1400000US48029121908,114055,2034,112,299100.0,48,029,121908,2012,18.160714285714285
216,1400000US48029121909,68310,3600,856,177100.0,48,029,121909,2012,4.205607476635514
217,1400000US48029121910,98500,3597,783,191900.0,48,029,121910,2012,4.593869731800766
218,1400000US48029130402,20926,1561,2324,55600.0,48,029,130402,2012,0.6716867469879518
219,1400000US48029131503,51689,2506,831,88400.0,48,029,131503,2012,3.015643802647413
220,1400000US48029131504,47348,2442,1667,75700.0,48,029,131504,2012,1.4649070185962807
221,1400000US48029130401,23453,2032,1258,72100.0,48,029,130401,2012,1.6152623211446742
222,1400000US48029131401,48311,5223,1780,93700.0,48,029,131401,2012,2.9342696629213485
223,1400000US48029131402,46995,2552,505,87400.0,48,029,131402,2012,5.0534653465346535
224,1400000US48029131505,65607,3139,525,114700.0,48,029,131505,2012,5.979047619047619
225,1400000US48029171914,57195,4786,1017,99900.0,48,029,171914,2012,4.705998033431662
226,1400000US48029171915,69472,1639,452,101000.0,48,029,171915,2012,3.6261061946902653
227,1400000US48029171916,66683,6211,1263,143600.0,48,029,171916,2012,4.917656373713381
228,1400000US48029171917,70042,6274,2707,139800.0,48,029,171917,2012,2.3176948651643885
229,1400000US48029171918,76339,3338,1706,160900.0,48,029,171918,2012,1.9566236811254396
230,1400000US48029171919,56889,3028,465,119100.0,48,029,171919,2012,6.511827956989247
231,1400000US48029171920,61016,6851,2125,103800.0,48,029,171920,2012,3.224
232,1400000US48029171921,56216,4358,1554,94800.0,48,029,171921,2012,2.8043758043758045
233,1400000US48029171922,67574,2823,488,114500.0,48,029,171922,2012,5.784836065573771
234,1400000US48029171923,54320,5358,2554,112100.0,48,029,171923,2012,2.0978856695379795
235,1400000US48029171924,77840,2654,1981,218900.0,48,029,171924,2012,1.3397274103987884
236,1400000US48029171925,64453,7671,1608,145300.0,48,029,171925,2012,4.770522388059701
237,1400000US48029172003,72132,3801,2672,164400.0,48,029,172003,2012,1.4225299401197604
